id,latin,japanese,feature,primary_mapping,register,status,key_morphology,notes
LAT-018,"Si lapis intra circulum est, nexum aperi.","石が円内にあるなら、接続を開け。","conditional","if + CHANNEL-like action","technical Latin","canonical","si=conditional; lapis=nom.sg; intra circulum=intra+acc.sg; est=indicative; nexum=acc.sg; aperi=imperative","Example that conditions need not use subjunctive uniformly."
LAT-019,"Si lapis intra circulum est, nexum aperi; sin autem, siste.","石が円内にあるなら接続を開け。そうでなければ停止せよ。","if/else","if/else + ABORT/stop","technical Latin","canonical","si...est=condition; sin autem=otherwise; aperi=imperative; siste=imperative","Used to illustrate else branching."
LAT-020,"Hanc operationem ter exsequere.","この操作を三回実行せよ。","bounded repetition","repeat 3","technical Latin","canonical","hanc operationem=acc.sg; ter=adverb; exsequere=imperative of deponent exsequor","Finite repetition example."
LAT-021,"Temperaturam aquae observa.","水の温度を観測せよ。","observation","OBSERVE","Neo-Latin scientific","canonical","temperaturam=acc.sg; aquae=gen.sg; observa=imperative","Compact observation example."
LAT-022,"Si temperatura aquae maior quam terminus est, calorem ab aqua ad receptaculum transfer.","水の温度が基準値より高ければ、熱を水から受容器へ移せ。","conditional thermal control","if + Transfer<Energy,mode=Thermal>","Neo-Latin technical","provisional","temperatura=nom.sg; aquae=gen.sg; maior=comparative nom.sg.fem; quam terminus=comparative phrase; calorem=acc.sg","terminus/receptaculum are technical choices subject to future Latin editorial review."
LAT-023,"Hoc ius Svetae delega.","この権限をスヴェータに委譲せよ。","delegation","DELEGATE","technical Latin","canonical","hoc ius=acc.sg.neut; Svetae=dat.sg; delega=imperative","Dative maps naturally to Recipient."
LAT-024,"Hunc lapidem sequere.","この石を追跡せよ。","tracking","RESOLVE + repeated OBSERVE","technical Latin","canonical","hunc lapidem=acc.sg; sequere=imperative of deponent sequor","Tracking is not itself CONSTRAIN."
LAT-025,"Lapidem ante me feri.","私の前にある石を打て。","late binding target","RESOLVE-at-use + high-level attack","technical Latin","provisional","lapidem=acc.sg; ante me=ante+acc; feri=imperative","Intended as late-bound spatial description."
LAT-026,"Hunc lapidem designa. Eundem postea feri.","この石を指定せよ。後でまさに同じものを打て。","early binding identity","RESOLVE -> stored Ref reuse","technical Latin","canonical","hunc lapidem=acc.sg; designa=imperative; eundem=acc.sg.masc of idem; postea=adverb; feri=imperative","eundem expresses reuse of the same identity-bound target."
LAT-027,"Hoc corpus in duas partes divide.","この物体を二つの部分に分割せよ。","entity split","RECONFIGURE + identity events","technical Latin","canonical","hoc corpus=acc.sg.neut; in duas partes=in+acc.pl; divide=imperative","Default Object identity policy terminates the old identity on one-to-many split."
LAT-028,"Post tria secunda nexum aperi.","3秒後に接続を開け。","scheduled execution","after 3 s","Neo-Latin technical","provisional","post=preposition; tria secunda=technical time expression; nexum=acc.sg; aperi=imperative","Time-unit wording is explicitly technical Latin."
LAT-029,"Cum corpus limen attingat, nexum momentum aperi.","物体が境界に触れたとき、運動量の接続を開け。","event trigger","on Touch -> Channel<Momentum>","technical Latin","deprecated","cum=temporal/event clause; corpus=nom.sg; limen=acc.sg; attingat=subj.3sg","Deprecated because nexum momentum is not the preferred genitive technical phrase."
LAT-030,"Cum corpus limen attingat, nexum quantitatis motus aperi.","物体が境界に触れたとき、運動量の接続を開け。","event trigger","on Touch -> Channel<Momentum>","17th-century-flavoured technical Latin","canonical","cum clause; corpus=nom.sg; limen=acc.sg; attingat=subj.3sg; quantitatis motus=genitive phrase","Preferred correction of LAT-029."
LAT-031,"Cum hostis limen transeat, globum emitte.","敵が境界を越えたとき、球を放て。","event trigger","on Cross -> launch","technical Latin","canonical","hostis=nom.sg; limen=acc.sg; transeat=subj.3sg; globum=acc.sg; emitte=imperative","Canonical event example."
LAT-032,"Semel, cum ...","一度だけ、〜するとき……","single-shot event marker","once on","Latin fragment","fragment","semel=adverb","Fragment used to motivate one-shot event subscription."
LAT-033,"Quotiens ...","〜するたびに……","repeated event marker","on each","Latin fragment","fragment","quotiens=relative/interrogative adverb","Fragment used to motivate repeated event subscription."
LAT-034,"Calorem quinque milium unitatum ab aqua ad aerem transfer.","5000単位の熱を水から空気へ移せ。","explicit quantity","Transfer<Energy,mode=Thermal>","technical Latin","deprecated","calorem=acc.sg; quinque milium unitatum=quantity phrase; ab aqua; ad aerem; transfer=imperative","Illustrative only; strict language should use a defined unit syntax rather than generic unitatum."
LAT-035,"Canalem energiae ab aqua ad aerem aperi.","エネルギーのチャネルを水から空気へ開け。","channel creation","Channel<Energy>","Neo-Latin technical","canonical","canalem=acc.sg; energiae=gen.sg; ab aqua=source; ad aerem=goal; aperi=imperative","Canonical source/goal variant."
LAT-036,"Ab aqua ad aerem canalem energiae aperi.","水から空気へエネルギーのチャネルを開け。","word-order variant","Channel<Energy>","Neo-Latin technical","provisional","ab aqua=source; ad aerem=goal; canalem=acc.sg; energiae=gen.sg; aperi=imperative","Illustrates that surface word order may map to the same AST."
LAT-037,"Canalem ab aqua energiae ad aerem aperi.","水から空気へエネルギーのチャネルを開け。","word-order variant","Channel<Energy>","Neo-Latin technical","provisional","canalem=acc.sg; ab aqua=source; energiae=gen.sg; ad aerem=goal; aperi=imperative","Possible surface variant; strict Magical Latin should prefer standardized ordering to reduce ambiguity."
